"melid","performer","title","solopart","chorus_count","instrument","style","tonalitytype","genre","rhythmfeel","avgtempo","tempoclass","key","signature","recordingdate","composer","form","template","label","releasedate"
"343","Pat Metheny","Cabin Fever","1","8","g","POSTBOP","BLUES","ORIGINAL","SWING","308.1","UP","Bb-maj","4/4","1996","Michael Brecker","A12","Blues","Impulse! Records","1996"
"344","Pat Metheny","Midnight Voyage","1","1","g","POSTBOP","COLOR","ORIGINAL","SWING","127.7","MEDIUM","C-min","4/4","1996","Joey Calderazzo","A8A8B16A8","","Impulse! Records","1996"
"345","Pat Metheny","Nothing Personal","1","3","g","POSTBOP","BLUES","ORIGINAL","SWING","242.1","UP","G-min","4/4","1987","Grolnick","A12","Blues","Impulse! Records","1987"
"346","Paul Desmond","Alianca","1","2","as","COOL","FUNCTIONAL","ORIGINAL","LATIN","232.7","UP","Bb-maj","4/4","1964-07-30","Paul Desmond","A16B16","","Rca Victor","1999"
"347","Paul Desmond","Alianca","2","1","as","COOL","FUNCTIONAL","ORIGINAL","LATIN","235.9","UP","Bb-maj","4/4","1964-07-30","Paul Desmond","A16B16","","Rca Victor","1999"
"348","Paul Desmond","Alone Together","1","3","as","COOL","FUNCTIONAL","GREAT AMERICAN SONGBOOK","SWING","199.9","UP","C-min","4/4","1963-06-12","","A14A14B8A8","","Rca Victor",""
"349","Paul Desmond","Blue Rondo a la Turk","1","4","as","COOL","BLUES","ORIGINAL","SWING","117.1","MEDIUM","F-maj","4/4","25 Juni - 18. August 1959","Dave Brubeck","A12","Blues","Columbia Records","1959"
"350","Paul Desmond","Bossa Antigua","1","2","as","COOL","FUNCTIONAL","ORIGINAL","LATIN","191.6","UP","Ab-maj","4/4","1964-07-28","Paul Desmond","A8B8C8A8","","Rca Victor","1999"
"351","Paul Desmond","Samba Cantina","1","2","as","COOL","FUNCTIONAL","ORIGINAL","LATIN","150.8","MEDIUM UP","F-min","4/4","1964-07-28","Paul Desmond","A16B16","","Rca Victor","1999"
"352","Paul Desmond","Samba Cantina","2","1","as","COOL","FUNCTIONAL","ORIGINAL","LATIN","152.7","MEDIUM UP","F-min","4/4","1964-07-28","Paul Desmond","A16B16","","Rca Victor","1999"
"353","Paul Desmond","The Girl from East 9th Street","1","2","as","COOL","FUNCTIONAL","ORIGINAL","LATIN","142.1","MEDIUM UP","Ab-maj","4/4","1964-08-20","Paul Desmond","A8B8A8B8","","Rca Victor","1999"
"354","Pepper Adams","A Night in Tunisia","1","2","bs","HARDBOP","FUNCTIONAL","ORIGINAL","LATIN","127.7","MEDIUM","D-min","4/4","1957-09-29","Dizzie Gillespie","A8A8B8A8","","Blue Note","1958"
"355","Pepper Adams","Early Morning Mood","1","3","bs","HARDBOP","BLUES","ORIGINAL","SWING","59.8","SLOW","G-maj","4/4","1958-12-30","Chet Baker","A12","Blues","Riverside Records","1959"
"356","Pepper Adams","How High the Moon","1","1","bs","HARDBOP","FUNCTIONAL","GREAT AMERICAN SONGBOOK","SWING","115.7","MEDIUM","G-maj","4/4","1958-12-30","Hamilton/Lewis","A16B16","","Riverside Records","1959"
"357","Pepper Adams","Just One of Those Things","1","2","bs","HARDBOP","FUNCTIONAL","GREAT AMERICAN SONGBOOK","SWING","314","UP","F-maj","4/4","1957-09-29","Cole Porter","A16A16B16A16","","Blue Note","1958"
"358","Pepper Adams","You'd Be So Nice to Come Home to","1","1","bs","HARDBOP","FUNCTIONAL","GREAT AMERICAN SONGBOOK","SWING","88.6","MEDIUM SLOW","C-maj","4/4","1958-12-30","Cole Porter","A16B16","","Riverside Records","1959"
"359","Phil Woods","Be My Love","1","3","as","BEBOP","FUNCTIONAL","GREAT AMERICAN SONGBOOK","SWING","218","UP","F-maj","4/4","1955-11-25","Nicholas Brodzky","A8B8A8C12","","Membran Music Ltd.","2004"
"360","Phil Woods","Cotton Tail","1","1","as","BEBOP","FUNCTIONAL","GREAT AMERICAN SONGBOOK","SWING","241.5","UP","Bb-maj","4/4","1961-11-15","Duke Ellington","A8A8B8A8","I Got Rhythm","Impulse! Records","1997"
"361","Phil Woods","Crazy Rhythm","1","1","as","BEBOP","FUNCTIONAL","GREAT AMERICAN SONGBOOK","SWING","236.2","UP","F-maj","4/4","1961-11-15","Meyer, Kahn, Caesar","A8A8B8A8","","Impulse! Records","1997"
"362","Phil Woods","Honeysuckle Rose","1","1","as","BEBOP","FUNCTIONAL","GREAT AMERICAN SONGBOOK","SWING","233.3","UP","F-maj","4/4","1961-11-15","Razaf/Waller","A8A8B8A8","","Impulse! Records","1997"
"363","Phil Woods","On a Slow Boat to China","1","4","as","BEBOP","FUNCTIONAL","GREAT AMERICAN SONGBOOK","SWING","242.6","UP","Bb-maj","4/4","1955-11-25","Frank Loesser","A16B16","","Membran Music Ltd.","2004"
"364","Phil Woods","Strollin' with Pam","1","7","as","BEBOP","BLUES","ORIGINAL","SWING","138.9","MEDIUM","Eb-maj","4/4","1955-11-25","","A12","Blues","Membran Music Ltd","2004"
"365","Red Garland","Oleo","1","2","p","HARDBOP","FUNCTIONAL","ORIGINAL","SWING","264.9","UP","Bb-maj","4/4","1956-10-26","Sonny Rollins","A8A8B8A8","I Got Rhythm","Prestige","1958"
"366","Rex Stewart","Perdido","1","2","cor","SWING","FUNCTIONAL","GREAT AMERICAN SONGBOOK","SWING","177.8","MEDIUM UP","Bb-maj","4/4","1950","Tizol","A8A8B8A8","","Membran Music Ltd.","2005"
"367","Roy Eldridge","Body and Soul","1","1","tp","SWING","FUNCTIONAL","GREAT AMERICAN SONGBOOK","SWING","107","MEDIUM SLOW","Db-maj","4/4","1938-11-11","Heyman, Sour, Eyton, Green","A8A8B8A8","","Classic Records","1994"
"368","Roy Eldridge","King David","1","2","tp","SWING","BLUES","ORIGINAL","SWING","149.8","MEDIUM UP","Bb-maj","4/4","1950-06-08","Roy Eldridge","A12","Blues","Membran Music Ltd.","2005"
"369","Roy Eldridge","St. Louis Blues","1","1","tp","SWING","BLUES","GREAT AMERICAN SONGBOOK","SWING","361.3","UP","G-maj","4/4","1944-10-13","W.C. Handy","A12A12B8A12","Blues","History - (Trumpets of Jericho)s",""
"370","Roy Eldridge","The Gasser","1","2","tp","SWING","FUNCTIONAL","ORIGINAL","SWING","231.3","UP","Ab-maj","4/4","1943-11-16","Eldridge","A8B8","","History - (Trumpets of Jericho)s",""
"371","Roy Eldridge","The Gasser","2","2","tp","SWING","FUNCTIONAL","ORIGINAL","SWING","237.7","UP","Ab-maj","4/4","1943-11-16","Eldridge","A8B8","","History - (Trumpets of Jericho)s",""
"372","Roy Eldridge","Undecided","1","2","tp","SWING","FUNCTIONAL","GREAT AMERICAN SONGBOOK","SWING","243.6","UP","Bb-maj","4/4","1950-06-08","Robbin-Shavers","A16B8A8","","Membran Music Ltd.","2005"
"373","Sidney Bechet","Baby Won't You Please Come Home","1","1","ss","TRADITIONAL","FUNCTIONAL","GREAT AMERICAN SONGBOOK","TWOBEAT","207","UP","Bb-maj","4/4","1941-04-02","Warfield, Wiliams","A8B8","","Trumpets of Jericho Ltd.",""
"374","Sidney Bechet","I'm Coming Virginia","1","1","ss","TRADITIONAL","FUNCTIONAL","GREAT AMERICAN SONGBOOK","TWOBEAT","192.8","UP","F-maj","4/4","1941-09-13","Heywood","A8B8C8","","Trumpets of Jericho Ltd.",""
"375","Sidney Bechet","Limehouse Blues","1","1","ss","TRADITIONAL","FUNCTIONAL","GREAT AMERICAN SONGBOOK","TWOBEAT","273.6","UP","Ab-maj","4/4","1941-09-13","Braham, Furber","A16B16C16D16","","Trumpets of Jericho Ltd.",""
"376","Sidney Bechet","Really the Blues","1","2","ss","TRADITIONAL","BLUES","ORIGINAL","TWOBEAT","70.6","SLOW","Bb-maj","4/4","1938-11-28","Mezzrow","A12","Blues","Trumpets of Jericho Ltd.",""
"377","Sidney Bechet","Summertime","1","4","ss","TRADITIONAL","FUNCTIONAL","GREAT AMERICAN SONGBOOK","TWOBEAT","84.2","MEDIUM SLOW","G-min","4/4","1938-06-08","Gershwin","A8B8","","Trumpets of Jericho Ltd.",""
"378","Sonny Rollins","Airegin","1","3","ts","HARDBOP","FUNCTIONAL","ORIGINAL","SWING","242.6","UP","Ab-maj","4/4","1954-06-29","Sonny Rollins","A8B12A8C8","","Prestige","1980"
"379","Sonny Rollins","Blue Seven","1","5","ts","HARDBOP","BLUES","ORIGINAL","SWING","134.6","MEDIUM","Bb-maj","4/4","1956-06-22","Sonny Rollins","A12","Blues","CD Company Italy","1990"
"380","Sonny Rollins","Blue Seven","2","2","ts","HARDBOP","BLUES","ORIGINAL","SWING","137.6","MEDIUM","Bb-maj","4/4","1956-06-22","Sonny Rollins","A12","Blues","CD Company Italy","1990"
"381","Sonny Rollins","Blue Seven","3","2","ts","HARDBOP","BLUES","ORIGINAL","SWING","133.3","MEDIUM","Bb-maj","4/4","1956-06-22","Sonny Rollins","A12","Blues","CD Company Italy","1990"
"382","Sonny Rollins","I'll Remember April","1","2","ts","HARDBOP","FUNCTIONAL","GREAT AMERICAN SONGBOOK","SWING","294","UP","G-maj","4/4","1956-02-16","Raye/DePaul/Johnston","A16B16A16","","EmArcy","1991"
"383","Sonny Rollins","Playin' in the Yard","1","1","ts","FUSION","FUNCTIONAL","ORIGINAL","FUNK","155.2","MEDIUM UP","G-maj","4/4","1972","","A16","","Milestone","1972"
"384","Sonny Rollins","Playin' in the Yard","2","1","ts","FUSION","FUNCTIONAL","ORIGINAL","FUNK","159.4","MEDIUM UP","G-maj","4/4","1972","","A16","","Milestone","1972"
"385","Sonny Rollins","St. Thomas","1","5","ts","HARDBOP","FUNCTIONAL","ORIGINAL","LATIN","207","UP","C-maj","4/4","1956-06-22","Sonny Rollins","A16","","Prestige","1987"
"386","Sonny Rollins","St. Thomas","2","4","ts","HARDBOP","FUNCTIONAL","ORIGINAL","LATIN","224.1","UP","C-maj","4/4","1956-06-22","Sonny Rollins","A16","","Prestige","1987"
"387","Sonny Rollins","Tenor Madness","1","8","ts","HARDBOP","BLUES","ORIGINAL","SWING","175.6","MEDIUM UP","Bb-maj","4/4","1956-06-22","Sonny Rollins","A12","Blues","CD Company Italy","1990"
"388","Sonny Rollins","The Everywhere Calypso","1","13","ts","POSTBOP","FUNCTIONAL","ORIGINAL","LATIN","192.6","UP","C-maj","4/4","1972","","A12","","Milestone","1972"
"389","Sonny Rollins","The Everywhere Calypso","2","19","ts","POSTBOP","FUNCTIONAL","ORIGINAL","LATIN","197.2","UP","C-maj","4/4","1972","","A12","","Milestone","1972"
"390","Sonny Rollins","Vierd Blues","1","6","ts","HARDBOP","BLUES","ORIGINAL","SWING","114.4","MEDIUM","Bb-maj","4/4","1956-03-16","","A12","Blues","Prestige","1992"
"391","Sonny Stitt","Blue Mode","1","1","ts","BEBOP","BLUES","ORIGINAL","SWING","60.7","SLOW","Bb-maj","4/4","1949-10-17","J.J. Johnson","A12","Blues","Membran Music Ltd.","2005"
