"melid";"performer";"title";"solopart";"chorus_count";"instrument";"style";"tonalitytype";"genre";"rhythmfeel";"avgtempo";"tempoclass";"key";"signature";"recordingdate";"composer";"form";"template";"label";"releasedate";"numnotes";"duration";"recordingyear"
118;"David Murray";"Body and Soul";1;1;"ts";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"BALLAD";65,9;"SLOW";"Db-maj";"4/4";"25, 26 & 30.09 1983";"Heyman, Sour, Eyton, Green";"A8A8B8A8";"";"Black Saint Records";1984;564;118,7;1983
119;"David Murray";"Body and Soul";2;1;"ts";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"BALLAD";65,1;"SLOW";"Db-maj";"4/4";"25, 26 & 30.09 1983";"Heyman, Sour, Eyton, Green";"A8A8B8A8";"";"Black Saint Records";1984;146;30,3;1983
120;"David Murray";"Chelsea Bridge";1;1;"ts";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"BALLAD";53;"SLOW";"Db-maj";"4/4";"1990-05-19";"Billy Strayhorn";"A8A8B8A8";"";"Fresh Sound Records";1991;588;149,7;1990
121;"Dexter Gordon";"Cheese Cake";1;2;"ts";"HARDBOP";"FUNCTIONAL";"ORIGINAL";"SWING";220,9;"UP";"C-min";"4/4";"1962-08-27";"Dexter Gordon";"A16A16B8C16";"";"Blue Note";1999;588;123,9;1962
122;"Dexter Gordon";"Dextivity";1;2;"ts";"BEBOP";"FUNCTIONAL";"ORIGINAL";"SWING";93,2;"MEDIUM SLOW";"C-maj";"4/4";"1947-12-22";"Dexter Gordon";"A8A8B8A8";"";"History/Trumpets of Jericho Ltd.";1998;348;82,6;1947
123;"Dexter Gordon";"Montmartre";1;4;"ts";"HARDBOP";"FUNCTIONAL";"ORIGINAL";"SWING";204,2;"UP";"Bb-min";"4/4";"02.+04.04.1969";"Dexter Gordon";"A8A8B8A8";"";"Prestige";1993;680;153,3;1969
124;"Dexter Gordon";"Society Red";1;9;"ts";"HARDBOP";"BLUES";"ORIGINAL";"SWING";113,7;"MEDIUM";"Bb-maj";"4/4";"1961-05-06";"Dexter Gordon";"A12";"Blues";"Blue Note";1988;1037;244,4;1961
125;"Dexter Gordon";"Stanley the Steamer";1;12;"ts";"HARDBOP";"BLUES";"ORIGINAL";"SWING";181,2;"UP";"Bb-maj";"4/4";"02.+04.04.1969";"Dexter Gordon";"A12";"Blues";"Prestige";1993;777;192,1;1969
126;"Dexter Gordon";"The Rainbow People";1;3;"ts";"HARDBOP";"FUNCTIONAL";"ORIGINAL";"SWING";120;"MEDIUM";"Eb-maj";"4/4";"02.+04.04.1969";"Dexter Gordon";"A8A8B8A8";"";"Prestige";1993;719;196,2;1969
127;"Dickie Wells";"After Theatre Jump";1;1;"tb";"SWING";"FUNCTIONAL";"ORIGINAL";"SWING";173,5;"MEDIUM UP";"Db-maj";"4/4";"1944-03-22";"Wells";"A8A8B8A8";"I Got Rhythm";"Membran Music Ltd..";2005;158;44,3;1944
128;"Dickie Wells";"Destination K.C.";1;1;"tb";"SWING";"FUNCTIONAL";"ORIGINAL";"SWING";249,1;"UP";"C-maj";"4/4";"1944-03-22";"Clayton";"A8A8B8A8";"I Got Rhythm";"Membran Music Ltd..";2005;129;31,1;1944
129;"Dickie Wells";"Dickie's Dream";1;1;"tb";"SWING";"FUNCTIONAL";"ORIGINAL";"SWING";229,4;"UP";"C-min";"4/4";"1939-09-05";"Basie-Young";"A8A8B8A8";"";"Membran Music Ltd..";2005;109;31,8;1939
130;"Dickie Wells";"I Got Rhythm";1;2;"tb";"SWING";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";243,4;"UP";"Bb-maj";"4/4";"1944-03-14";"G. & I. Gershwin";"A8A8B8A8";"I Got Rhythm";"Quadromania";2006;236;63,6;1944
131;"Dickie Wells";"Jo-Jo";1;2;"tb";"SWING";"BLUES";"ORIGINAL";"SWING";183,4;"UP";"Bb-maj";"4/4";"1944-03-14";"Joe Bushkin";"A12";"Blues";"Quadromania";2006;114;31,6;1944
132;"Dickie Wells";"Six Cats and a Prince";1;1;"tb";"SWING";"FUNCTIONAL";"ORIGINAL";"SWING";217,6;"UP";"Bb-maj";"4/4";"1944-03-22";"Clayton";"A8A8B8A8";"";"Membran Music Ltd..";2005;124;35;1944
133;"Dizzy Gillespie";"Anthropology";1;1;"tp";"BEBOP";"FUNCTIONAL";"ORIGINAL";"SWING";245,7;"UP";"Bb-maj";"4/4";"1946-02-22";"Parker, Gillespie";"A8A8B8A8";"I Got Rhythm";"BMG/Makin' Friends records";1994;158;31,2;1946
134;"Dizzy Gillespie";"Be-Bop";1;3;"tp";"BEBOP";"FUNCTIONAL";"ORIGINAL";"SWING";290,2;"UP";"F-min";"4/4";"1945-01-09";"Gillespie";"A8A8B16";"";"BMG/Makin' Friends records";1994;536;79,1;1945
135;"Dizzy Gillespie";"Blue 'n Boogie";1;4;"tp";"BEBOP";"BLUES";"ORIGINAL";"SWING";204,4;"UP";"Bb-maj";"4/4";"1945-02-09";"Gillespie/Paparelli";"A12";"Blues";"BMG/Makin' Friends records";1994;305;57;1945
136;"Dizzy Gillespie";"Cognac Blues";1;2;"tp";"BEBOP";"BLUES";"ORIGINAL";"SWING";113,6;"MEDIUM";"F-maj";"4/4";"1952-03-25";"Dizzy Gillespie";"A12";"Blues";"Membran Music Ltd.";2005;150;39,9;1952
137;"Dizzy Gillespie";"Groovin' High";1;2;"tp";"BEBOP";"FUNCTIONAL";"ORIGINAL";"SWING";181,9;"UP";"Db-maj";"4/4";"1945-12-29";"Dizzy Gillespie";"A16A16";"";"BMG/Makin' Friends records";1994;442;81,6;1945
138;"Dizzy Gillespie";"Hot House";1;1;"tp";"BEBOP";"FUNCTIONAL";"ORIGINAL";"SWING";171,1;"MEDIUM UP";"C-maj";"4/4";"1945-05-11";"Tadd Dameron";"A8A8B8A8";"What Is this Thing Called Love";"BMG/Makin' Friends records";1994;217;43,2;1945
139;"Don Byas";"Be-Bop";1;2;"ts";"BEBOP";"FUNCTIONAL";"ORIGINAL";"SWING";288,6;"UP";"F-min";"4/4";"1945-01-09";"Gillespie";"A8A8B16";"";"BMG/Makin' Friends records";1994;336;52,7;1945
140;"Don Byas";"Body and Soul";1;2;"ts";"SWING";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";98,6;"MEDIUM SLOW";"Db-maj";"4/4";"1947";"Heyman, Sour, Eyton, Green";"A8A8B8A8";"";"Classic Records";1999;723;155,6;1947
141;"Don Byas";"Cognac Blues";1;2;"ts";"SWING";"BLUES";"ORIGINAL";"SWING";115,9;"MEDIUM";"F-maj";"4/4";"1952-03-25";"Dizzy Gillespie";"A12";"Blues";"Membran Music Ltd.";2005;193;48,5;1952
142;"Don Byas";"Harvard Blues";1;1;"ts";"SWING";"BLUES";"ORIGINAL";"SWING";98,5;"MEDIUM SLOW";"Db-maj";"4/4";"1945-08-30";"Frazier, Smith, Basie)";"A12";"Blues";"Membran Music Ltd.";2005;72;29,2;1945
143;"Don Byas";"Harvard Blues";2;1;"ts";"SWING";"BLUES";"ORIGINAL";"SWING";99,3;"MEDIUM SLOW";"Db-maj";"4/4";"1945-08-30";"Frazier, Smith, Basie)";"A12";"Blues";"Membran Music Ltd.";2005;122;31;1945
144;"Don Byas";"Infidele (Cry)";1;2;"ts";"SWING";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";120,1;"MEDIUM";"Bb-maj";"4/4";"1952-02-06";"Churchill - Kohlman";"A16B16";"";"Membran Music Ltd.";2005;253;72;1952
145;"Don Byas";"Out of Nowhere";1;1;"ts";"SWING";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"BALLAD";55,5;"SLOW";"G-maj";"4/4";"1945-06-27";"Heyman, Green";"A16B16";"";"Membran Music Ltd.";2005;267;68,8;1945
146;"Don Byas";"Un Amour Pleurait";1;1;"ts";"SWING";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";106;"MEDIUM SLOW";"F-maj";"4/4";"1952-02-06";"Ray";"A8A8B8C8";"";"Membran Music Ltd.";2005;298;74,8;1952
147;"Don Ellis";"I Love You";1;2;"tp";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";146,9;"MEDIUM UP";"F-maj";"";"1961-04-21";"C. Porter";"A8A8B8A8";"";"Sarabandas srl (Giants of Jazz)";1995;305;105,9;1961
148;"Don Ellis";"Johnny Come Lately";1;2;"tp";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";211,3;"UP";"G-min";"4/4";"1962-07-15";"Duke Ellington";"A8A8B8A8";"";"Sarabandas srl (Giants of Jazz)";1995;298;74,2;1962
149;"Don Ellis";"Out of Nowhere";1;1;"tp";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";151,9;"MEDIUM UP";"G-maj";"4/4";"1961-04-21";"Heyman, Green";"A16B16";"";"Sarabandas srl (Giants of Jazz)";1995;229;54,3;1961
150;"Don Ellis";"Sweet and Lovely";1;2;"tp";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";134,1;"MEDIUM";"C-maj";"4/4";"1961-04-21";"Arnheim/Tobias/Lemare";"A8A8B8A8";"";"Sarabandas srl (Giants of Jazz)";1995;331;115,4;1961
151;"Don Ellis";"You Stepped Out of a Dream";1;1;"tp";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";199,5;"UP";"D-maj";"4/4";"1961-04-21";"Kahn/Brown";"A16B16";"";"Sarabandas srl (Giants of Jazz)";1995;177;39,3;1961
152;"Don Ellis";"You Stepped Out of a Dream";2;1;"tp";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";168,9;"MEDIUM UP";"D-maj";"4/4";"1961-04-21";"Kahn/Brown";"A16B16";"";"Sarabandas srl (Giants of Jazz)";1995;118;43,2;1961
153;"Eric Dolphy";"245";1;3;"as";"POSTBOP";"BLUES";"ORIGINAL";"SWING";71,2;"SLOW";"F-maj";"4/4";"1960-04-01";"Eric Dolphy";"A12";"Blues";"Prestige";1960;730;118,9;1960
154;"Eric Dolphy";"Aisha";1;1;"as";"POSTBOP";"FUNCTIONAL";"ORIGINAL";"SWING";62,9;"SLOW";"A-min";"4/4";"1961-05-25";"McCoy Tyner";"B8A8";"";"Atlantic Records";1995;379;62,9;1961
155;"Eric Dolphy";"Dahomey Dance";1;6;"as";"POSTBOP";"BLUES";"ORIGINAL";"SWING";128,9;"MEDIUM";"G-maj";"4/4";"1961-05-25";"John Coltrane";"A12";"Blues";"Atlantic Records";1995;552;135,2;1961
156;"Eric Dolphy";"Les";1;4;"as";"POSTBOP";"BLUES";"ORIGINAL";"SWING";235,4;"UP";"F-maj";"4/4";"1960-04-01";"Eric Dolphy";"A14";"Blues";"Prestige";1960;502;58,2;1960
157;"Eric Dolphy";"On Green Dolphin Street";1;2;"bcl";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";172,5;"MEDIUM UP";"Eb-maj";"4/4";"1960-04-01";"Kaper/Washington";"A8B8A8C8";"";"Prestige";1960;567;93,1;1960
158;"Eric Dolphy";"Serene";1;3;"bcl";"POSTBOP";"BLUES";"ORIGINAL";"SWING";75,2;"SLOW";"Eb-maj";"4/4";"1960-08-15";"Eric Dolphy";"A12";"Blues";"Prestige";1960;600;114,6;1960
159;"Fats Navarro";"Anthropology";1;2;"tp";"BEBOP";"FUNCTIONAL";"ORIGINAL";"SWING";300,7;"UP";"Bb-maj";"4/4";"1948";"Parker, Gillespie";"A8A8B8A8";"I Got Rhythm";"Trumpets of Jericho Ltd.";NA;379;50,8;1948
160;"Fats Navarro";"Double Talk";1;3;"tp";"BEBOP";"FUNCTIONAL";"ORIGINAL";"SWING";225,8;"UP";"F-maj";"4/4";"1948-10-11";"McGhee, Navaro";"A8A8B8A8";"";"Trumpets of Jericho Ltd.";NA;660;104,1;1948
161;"Fats Navarro";"Good Bait";1;1;"tp";"BEBOP";"FUNCTIONAL";"ORIGINAL";"SWING";146,2;"MEDIUM UP";"Bb-maj";"4/4";"1948";"Dameron";"A8A8B8A8";"";"Trumpets of Jericho Ltd.";NA;261;53,2;1948
162;"Fats Navarro";"Good Bait";1;1;"tp";"BEBOP";"FUNCTIONAL";"ORIGINAL";"SWING";147,4;"MEDIUM UP";"Bb-maj";"4/4";"1948";"Dameron";"A8A8B8A8";"";"Trumpets of Jericho Ltd.";NA;298;52,7;1948
163;"Fats Navarro";"Our Delight";1;1;"tp";"BEBOP";"FUNCTIONAL";"ORIGINAL";"SWING";200,7;"UP";"Ab-maj";"4/4";"1948";"Dameron";"A8A8B8A8";"";"Trumpets of Jericho Ltd.";NA;208;38,5;1948
164;"Fats Navarro";"The Skunk";1;2;"tp";"BEBOP";"BLUES";"ORIGINAL";"SWING";163,8;"MEDIUM UP";"Db-maj";"4/4";"1948-10-11";"Dameron";"A12";"Blues";"Trumpets of Jericho Ltd.";NA;162;34,6;1948
165;"Freddie Hubbard";"245";1;3;"tp";"POSTBOP";"BLUES";"ORIGINAL";"SWING";73;"SLOW";"F-maj";"4/4";"1960-04-01";"Eric Dolphy";"A12";"Blues";"Prestige";1960;439;120;1960
166;"Freddie Hubbard";"Dolphin Dance";1;2;"tp";"POSTBOP";"COLOR";"ORIGINAL";"SWING";118,9;"MEDIUM";"";"4/4";"1966-03-17";"Herbie Hancock";"A12B18C4";"";"Blue Note";1966;421;130,1;1966
167;"Freddie Hubbard";"Down Under";1;2;"tp";"HARDBOP";"BLUES";"ORIGINAL";"SWING";146,1;"MEDIUM UP";"F#-min";"4/4";"1961-10-02";"Freddie Hubbard";"A12";"Blues";"Blue Note";1997;110;38,6;1961
168;"Freddie Hubbard";"Maiden Voyage";1;2;"tp";"POSTBOP";"MODAL";"ORIGINAL";"SWING";126;"MEDIUM";"";"4/4";"1965-03-17";"Herbie Hancock";"A8A8B8A8";"";"Blue Note";1965;552;118,5;1965
169;"Freddie Hubbard";"Society Red";1;6;"tp";"HARDBOP";"BLUES";"ORIGINAL";"SWING";113,6;"MEDIUM";"F-maj";"4/4";"1961-05-06";"Dexter Gordon";"A12";"Blues";"Blue Note";1988;449;149,8;1961
170;"Freddie Hubbard";"Speak No Evil";1;1;"tp";"POSTBOP";"COLOR";"ORIGINAL";"SWING";143,2;"MEDIUM UP";"C-min";"4/4";"1964-12-24";"Wayne Shorter";"A14A14B8A14";"";"Blue Note";1965;251;82,4;1964
171;"George Coleman";"Maiden Voyage";1;1;"ts";"POSTBOP";"MODAL";"ORIGINAL";"SWING";125,4;"MEDIUM";"";"4/4";"1965-03-17";"Herbie Hancock";"A8A8B8A8";"";"Blue Note";1965;224;62,3;1965
172;"Gerry Mulligan";"Bunny";1;1;"bs";"COOL";"FUNCTIONAL";"ORIGINAL";"SWING";115,2;"MEDIUM";"C-maj";"4/4";"1959-11-17";"Shorty Rogers";"A8A8B8A8";"";"Verve Records";1960;231;65,2;1959
173;"Gerry Mulligan";"Line for Lyons";1;1;"bs";"COOL";"FUNCTIONAL";"ORIGINAL";"SWING";173,1;"MEDIUM UP";"Bb-maj";"4/4";"1957-08-27";"Gerry Mulligan";"A8A88C8";"";"Verve Records";1960;198;46,5;1957
174;"Gerry Mulligan";"Scrapple from the Apple";1;4;"bs";"COOL";"FUNCTIONAL";"ORIGINAL";"SWING";252;"UP";"G-min";"4/4";"1957-10-12";"Parker";"A8A8B8A8";"";"Verve Records";1960;671;121,5;1957
175;"Gerry Mulligan";"The Red Door";1;2;"bs";"COOL";"FUNCTIONAL";"ORIGINAL";"SWING";236,4;"UP";"G-maj";"4/4";"1960";"Zoot Sims / Gerry Mulligan";"A8A8B8A8";"";"Verve Records";1960;359;66,9;1960
176;"Gerry Mulligan";"This Can't Be Love";1;6;"bs";"COOL";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";269,1;"UP";"Ab-maj";"4/4";"1957-10-12";"Rodgers, Hart";"A8A8B8A8";"";"Verve Records";1960;960;167,8;1957
177;"Gerry Mulligan";"Walking Shoes";1;1;"bs";"COOL";"FUNCTIONAL";"ORIGINAL";"SWING";137,2;"MEDIUM";"G-maj";"4/4";"15.-16.10.1952";"Gerry Mulligan";"A8A8B8A8";"";"Giants of Jazz";1986;202;63;1952
178;"Hank Mobley";"Doodlin'";1;3;"ts";"HARDBOP";"BLUES";"ORIGINAL";"SWING";121,3;"MEDIUM";"Db-maj";"4/4";"1954-11-13";"H.Silver";"A12";"Blues";"Membran Music Ltd.";2005;283;72,1;1954
179;"Hank Mobley";"Lady Bird";1;6;"ts";"HARDBOP";"FUNCTIONAL";"ORIGINAL";"SWING";220,7;"UP";"C-maj";"4/4";"1955-11-11";"T.Dameron";"A16";"";"Membran Music Ltd.";2005;499;104,1;1955
180;"Hank Mobley";"Remember";1;3;"ts";"HARDBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";165,9;"MEDIUM UP";"Ab-maj";"4/4";"1960-02-07";"Irving Berlin";"A8A8B8A8";"";"Blue Note";1960;633;141,8;1960
181;"Hank Mobley";"Soul Station";1;5;"ts";"HARDBOP";"FUNCTIONAL";"ORIGINAL";"SWING";101,6;"MEDIUM SLOW";"Eb-maj";"4/4";"1960-02-07";"Hank Mobley";"A8";"";"Blue Note";1960;703;193,3;1960
182;"Harry Edison";"Did You Call Her Today";1;2;"tp";"SWING";"FUNCTIONAL";"ORIGINAL";"SWING";118,5;"MEDIUM";"Ab-maj";"4/4";"1962-06-06";"Ben Webster";"A8B8A8C8";"";"Giants of Jazz";1993;366;133,2;1962
183;"Henry Allen";"Baby Won't You Please Come Home";1;2;"tp";"TRADITIONAL";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"TWOBEAT";211,5;"UP";"Bb-maj";"4/4";"1941-04-02";"Warfield, Wiliams";"A8B8";"";"Trumpets of Jericho Ltd.";NA;156;41,9;1941
184;"Herbie Hancock";"Agitation";1;2;"p";"POSTBOP";"MODAL";"ORIGINAL";"SWING";293,8;"UP";"";"4/4";"20.22.01.1965";"M. Davis";"A4A4B4A4A4B4A4";"";"Columbia";1965;343;68,1;1965
185;"Herbie Hancock";"Dolores";1;1;"p";"POSTBOP";"COLOR";"ORIGINAL";"SWING";282,3;"UP";"";"4/4";"24-25.10.1966";"Shorter";"A8B6A8";"";"Columbia";1967;613;99,6;1966
186;"Herbie Hancock";"Gingerbread Boy";1;9;"p";"POSTBOP";"BLUES";"ORIGINAL";"SWING";285,8;"UP";"";"4/4";"24-25.10.1966";"Jimmy Heath";"A16";"Blues";"Columbia";1967;708;117;1966
187;"Herbie Hancock";"Hand Jive";1;1;"p";"POSTBOP";"COLOR";"ORIGINAL";"SWING";262,1;"UP";"";"4/4";"7./22./23.06, 19.07.1967";"Tony Williams";"A11B7";"";"Columbia";1968;642;138,9;1967
188;"Herbie Hancock";"Orbits";1;1;"p";"POSTBOP";"COLOR";"ORIGINAL";"SWING";264,9;"UP";"";"4/4";"24-25.10.1966";"Shorter";"open";"";"Columbia";1967;463;79,7;1966
189;"J.C. Higginbotham";"Baby Won't You Please Come Home";1;2;"tb";"TRADITIONAL";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"TWOBEAT";209,5;"UP";"Bb-maj";"4/4";"1941-04-02";"Warfield, Wiliams";"A8B8";"";"Trumpets of Jericho Ltd.";NA;170;40,8;1941
190;"J.J. Johnson";"Blue Mode";1;1;"tb";"BEBOP";"BLUES";"ORIGINAL";"SWING";64,1;"SLOW";"Bb-maj";"4/4";"1949-10-17";"J.J. Johnson";"A12";"Blues";"Membran Music Ltd.";2005;222;90,2;1949
191;"J.J. Johnson";"Blues in the Closet";1;16;"tb";"BEBOP";"BLUES";"ORIGINAL";"SWING";234,4;"UP";"Bb-blues";"4/4";"1957-09-29";"Pettiford";"A12";"Blues";"Polydor K.K";1995;812;197,5;1957
192;"J.J. Johnson";"Crazy Rhythm";1;5;"tb";"BEBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";277,3;"UP";"F-maj";"4/4";"1957-09-29";"Meyer, Kahn, Caesar";"A8A8B8A8";"";"Polydor K.K";1995;611;140,6;1957
193;"J.J. Johnson";"Elora";1;1;"tb";"BEBOP";"FUNCTIONAL";"ORIGINAL";"SWING";196,9;"UP";"Bb-maj";"4/4";"1949-10-17";"J.J. Johnson";"A8A8B8C8";"";"Membran Music Ltd.";2005;140;38,9;1949
194;"J.J. Johnson";"My Funny Valentine";1;2;"tb";"BEBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";133,3;"MEDIUM";"F-min";"4/4";"1957-09-29";"Rodgers, Hart";"A8A8B8C12";"";"Polydor K.K";1995;365;134,8;1957
195;"J.J. Johnson";"Teapot";1;2;"tb";"BEBOP";"FUNCTIONAL";"ORIGINAL";"SWING";315,2;"UP";"F-maj";"4/4";"1949-10-17";"J.J. Johnson";"A8B8";"";"Membran Music Ltd.";2005;251;48,8;1949
196;"J.J. Johnson";"Walkin'";1;7;"tb";"HARDBOP";"BLUES";"ORIGINAL";"SWING";127,9;"MEDIUM";"F-maj";"4/4";"1954-04-29";"Miles Davis/Richard Carpenter";"A12";"Blues";"Prestige";1957;434;156,5;1954
197;"J.J. Johnson";"Yesterdays";1;4;"tb";"BEBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";125,1;"MEDIUM";"D-min";"4/4";"1957-10-07";"Kern, Harbach";"A16A16";"";"Polydor K.K";1995;489;127,5;1957
198;"Joe Henderson";"In 'n Out";1;18;"ts";"POSTBOP";"BLUES";"ORIGINAL";"SWING";276,7;"UP";"Eb-maj";"4/4";"1964-04-10";"Joe Henderson";"A12";"Blues";"Blue Note";1964;1121;186,8;1964
199;"Joe Henderson";"In 'n Out";2;8;"ts";"POSTBOP";"BLUES";"ORIGINAL";"SWING";299,5;"UP";"Eb-maj";"4/4";"1964-04-10";"Joe Henderson";"A12";"Blues";"Blue Note";1964;517;82,3;1964
200;"Joe Henderson";"Johnny Come Lately";1;3;"ts";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";247,6;"UP";"G-min";"4/4";"03.-08.09.1991";"Duke Ellington";"A8A8B8A8";"";"Verve";1992;607;91,6;1991
201;"Joe Henderson";"Punjab";1;5;"ts";"POSTBOP";"COLOR";"ORIGINAL";"SWING";160,1;"MEDIUM UP";"D-chrom";"4/4";"1964-04-10";"Joe Henderson";"A10B8";"";"Blue Note";1964;716;134,8;1964
202;"Joe Henderson";"Serenity";1;5;"ts";"POSTBOP";"FUNCTIONAL";"ORIGINAL";"SWING";157,3;"MEDIUM UP";"Eb-maj";"4/4";"1964-04-10";"Joe Henderson";"A14";"";"Blue Note";1964;542;106,5;1964
203;"Joe Henderson";"The Sidewinder";1;3;"ts";"POSTBOP";"BLUES";"ORIGINAL";"LATIN";153,5;"MEDIUM UP";"Eb-maj";"4/4";"1963-12-21";"Lee Morgan";"A24";"Blues";"Blue Note";1989;536;110,9;1963
204;"Joe Henderson";"Totem Pole";1;2;"ts";"POSTBOP";"FUNCTIONAL";"ORIGINAL";"SWING";137,6;"MEDIUM";"Eb-min";"4/4";"1963-12-21";"Lee Morgan";"A8A8B8A8";"";"Blue Note";1989;562;111,6;1963
205;"Joe Henderson";"U.M.M.G.";1;2;"ts";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";219,2;"UP";"Db-maj";"4/4";"03.-08.09.1991";"Billy Strayhorn";"A8A8B8A8";"";"Verve";1992;329;70,3;1991
206;"Joe Lovano";"Body and Soul";1;2;"ts";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";60,5;"SLOW";"Db-maj";"4/4";"1991-12-29";"Heyman, Sour, Eyton, Green";"A8A8B8A8";"";"Blue Note";1992;986;254,5;1991
207;"Joe Lovano";"Body and Soul";2;1;"ts";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";59,6;"SLOW";"Db-maj";"4/4";"1991-12-29";"Heyman, Sour, Eyton, Green";"A8A8B8A8";"";"Blue Note";1992;208;85,7;1991
208;"Joe Lovano";"Central Park West";1;5;"ts";"POSTBOP";"FUNCTIONAL";"ORIGINAL";"SWING";62,6;"SLOW";"B-maj";"4/4";"1991-12-29";"John Coltrane";"A12B10";"";"Blue Note";1992;712;202,6;1991
209;"Joe Lovano";"Con Alma";1;1;"ts";"POSTBOP";"FUNCTIONAL";"ORIGINAL";"LATIN/SWING";124,6;"MEDIUM";"C-maj";"4/4";"1993";"Dizzy Gillespie";"A8A8B8A8";"";"Advance Music";1993;368;64;1993
210;"Joe Lovano";"I Can't Get Started";1;3;"ts-c";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";106,8;"MEDIUM SLOW";"C-maj";"4/4";"1994-03-12";"Vernon Duke";"A8A8B8C8";"";"Blue Note";1995;941;226,3;1994
211;"Joe Lovano";"Little Willie Leaps in";1;8;"ts";"POSTBOP";"FUNCTIONAL";"ORIGINAL";"SWING";303,7;"UP";"F-maj";"4/4";"1994-03-12";"Charlie Parker";"A16B16";"";"Blue Note";1995;1427;203,6;1994
212;"Joe Lovano";"Lonnie's Lament";1;11;"ts";"POSTBOP";"FUNCTIONAL";"ORIGINAL";"SWING";201;"UP";"C-min";"4/4";"1994-03-12";"John Coltrane";"A8B8";"";"Blue Note";1995;862;193,5;1994
213;"Joe Lovano";"Work";1;3;"ss";"POSTBOP";"FUNCTIONAL";"ORIGINAL";"SWING";208,7;"UP";"G-min";"4/4";"1991-12-29";"Thelonious Monk";"A8A8B8";"";"Blue Note";1992;600;110,7;1991
214;"John Abercrombie";"Ralph's Piano Waltz";1;3;"g";"POSTBOP";"MODAL";"ORIGINAL";"SWING";196,5;"UP";"";"3/4";"1988";"John Abercrombie";"A28";"";"Advance Music";1988;298;78,8;1988
215;"John Coltrane";"26-2";1;4;"ts";"HARDBOP";"FUNCTIONAL";"ORIGINAL";"SWING";194,5;"UP";"F-maj";"4/4";"1960-10-24";"Coltrane";"A8A8B8A8";"Confirmation";"Atlantic Records";1995;668;158,3;1960
216;"John Coltrane";"Bessie's Blues";1;5;"ts";"POSTBOP";"BLUES";"ORIGINAL";"SWING";184,3;"UP";"Eb-maj";"4/4";"27.04, 01.06.1964";"John Coltrane";"A12";"Blues";"impulse!";1987;352;80,1;1964
217;"John Coltrane";"Blues by Five";1;7;"ts";"HARDBOP";"BLUES";"ORIGINAL";"SWING";176,5;"MEDIUM UP";"Bb-maj";"4/4";"1956-10-26";"Red Garland";"A12";"Blues";"Prestige";2007;449;111,6;1956
218;"John Coltrane";"Blue Train";1;8;"ts";"HARDBOP";"BLUES";"ORIGINAL";"SWING";141,4;"MEDIUM UP";"Eb-maj";"4/4";"1957-09-15";"John Coltrane";"A12";"Blues";"Blue Note";1985;992;164,6;1957
219;"John Coltrane";"Body and Soul";1;2;"ts";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";138;"MEDIUM";"Db-maj";"4/4";"1960-10-24";"Heyman, Sour, Eyton, Green";"A8A8B8A8";"";"Rhino Records Inc";1984;421;111,5;1960
220;"John Coltrane";"Body and Soul";1;1;"ts";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";141,6;"MEDIUM UP";"Db-maj";"4/4";"1960-10-24";"Heyman, Sour, Eyton, Green";"A8A8B8A8";"";"Rhino Records Inc";1984;393;110,1;1960
