"melid";"performer";"title";"solopart";"chorus_count";"instrument";"style";"tonalitytype";"genre";"rhythmfeel";"avgtempo";"tempoclass";"key";"signature";"recordingdate";"composer";"form";"template";"label";"releasedate";"numnotes";"duration";"recordingyear"
447;"Wynton Marsalis";"Cherokee II";1;2;"tp";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";340,3;"UP";"Bb-maj";"4/4";"29.-30.5.1986, 24.-25.9.1986";"Ray Noble";"A16A16B16A16";"";"CBS/Columbia";1987;655;90,4;1986
448;"Wynton Marsalis";"Johnny Come Lately";1;2;"tp";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";245,4;"UP";"G-min";"4/4";"03.-08.09.1991";"Duke Ellington";"A8A8B8A8";"";"Verve";1992;292;63,3;1991
449;"Wynton Marsalis";"U.M.M.G.";1;2;"tp";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";221,3;"UP";"Db-maj";"4/4";"03.-08.09.1991";"Billy Strayhorn";"A8A8B8A8";"";"Verve";1992;261;70;1991
450;"Wynton Marsalis";"You're My Everything";1;1;"tp";"POSTBOP";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";137,6;"MEDIUM";"B-maj";"4/4";"1990";"Mort Dixon, Harry Warren, Joe Young";"A16B16";"";"CBS/Columbia";1990;162;58,2;1990
451;"Zoot Sims";"All the Things You Are";1;1;"ts";"COOL";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";192,2;"UP";"Ab-maj";"4/4";"1950-04-23";"J. Kern, O. Hammerstein";"A8B8C8D12";"";"Membran Music Ltd.";2005;176;46,4;1950
452;"Zoot Sims";"Dancing in the Dark";1;1;"ts";"COOL";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";124,7;"MEDIUM";"Ab-maj";"4/4";"1950-09-16";"Dietz/Schwartz";"A16B16";"";"Membran Music Ltd.";2005;110;62,6;1950
453;"Zoot Sims";"Dancing in the Dark";2;1;"ts";"COOL";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";122,1;"MEDIUM";"Ab-maj";"4/4";"1950-09-16";"Dietz/Schwartz";"A16B16";"";"Membran Music Ltd.";2005;169;73,4;1950
454;"Zoot Sims";"King David";1;1;"ts";"COOL";"BLUES";"ORIGINAL";"SWING";151,1;"MEDIUM UP";"Bb-maj";"4/4";"1950-06-08";"Roy Eldridge";"A12";"Blues";"Membran Music Ltd.";2005;103;31,6;1950
455;"Zoot Sims";"Night and Day";1;2;"ts";"COOL";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";216,7;"UP";"D-maj";"4/4";"1950-06-16";"C. Porter";"A8B8A8B8C8B8";"";"Membran Music Ltd.";2005;359;89,6;1950
456;"Zoot Sims";"Night and Day";2;1;"ts";"COOL";"FUNCTIONAL";"GREAT AMERICAN SONGBOOK";"SWING";217,6;"UP";"D-maj";"4/4";"1950-06-16";"C. Porter";"A8B8A8B8C8B8";"";"Membran Music Ltd.";2005;219;60,9;1950
